from,to
difbet,whats the difference between
diff,difference
dih,dick in hand
dikhed,dickhead
diku,do i know you
diky,do i know you
dil,daughter in law
dilf,dad i'd like to fuck
dillic,do i look like i care
dillifc,do i look like i fuck care
dilligad,do i look like i give a damn
dilligaf,do i look like i give a fuck
dilligas,do i look like i give a shit
din,didn't
din't,didn't
dink,double incomes
dinr,dinner
dirft,do it right the first time
dirl,die in real life
dis,this
disto,did i say that outloud
dit,details in thread
ditr,dancing in the rain
ditto,same here
dityid,did i tell you im distressed
diy,do it yourself
djm,dont judge me
dju,did you
dk,don't know
dkdc,"don't know, don't care"
dl,download
dlf,dropping like flies
dlibu,dont let it bother you
dln,don't look now
dltbbb,dont let the bed bugs bite
dltm,dont lie to me
dm,deathmatch
dmaf,do me a favor
dmba*,dumbass
dmi,don't mention it
dmn,damn
dmu,don't mess up
dmwm,don't mess with me
dmy,don't mess yourself
dn,don't know
dnbl8,do not be late
dnc,does not compute
dnd,do not disturb
dndp,do not double post
dnimb,dancing naked in my bra
dno,don't know
dnpmpl,damn near pissed my pants laughing
dnrta,did not read the article
dnrtfa,did not read the fuck article
dns,domain name system
dnt,don't
dnw,do not want
doa,dead on arrival
dob,date of birth
doc,drug of choice
dod,day of defeat
doe,depends on experience
doei,goodbye in dutch
dogg,friend
doin,doing
doin',doing
don,denial of normal
doncha,don't you
donno,don't know
dont,don't
dontcha,don't you
dood,dude
doodz,dudes
dord,department of redundancy department
dos,denial of service
dotc,dancing on the ceiling
doypov,depends on your point of view
dp,display picture
dpmo,don't piss me off
dprsd,depressed
dps,damage per second
dpup,dont poop your pants
dqmot,don't quote me on this
dqydj,don't quit your day job
dr00d,druid
drb,dirty rat bastard
drc,don't really care
drcowoto,dont really care one way or the other
drib,dont read if busy
drm,dream
drood,druid
dsided,decided
dstr8,damn straight
dsu,don't screw up
dt,double team
dta,don't trust anyone
dtb,don't text back
dtc,deep throaty chuckle
dtf,down to fuck
dth,down to hang
dtk,down to kill
dtl,damn the luck
dtp,don't type please
dtrt,do the right thing
dts,don't think so
dttm,don't talk to me
dttml,don't talk to me loser
dttpou,don't tell the police on us
dttriaa,don't tell the riaa
du2h,damn you to hell
ducy,do you see why
dugi,do you get it?
dugt,did you get that?
dui,driving under the influence
duk,did you know
dulm,do you like me
dum,dumb
dun,don't
duna,dont use no acronyms
dunna,i don't know
dunno,i don't know
duno,don't know
dupe,duplicate
dur,do you remember
durs,damn you are sexy
dusl,do you scream loud
dust,did you see that
dutma,don't you text me again
dvda,"double vaginal, double anal"
dw,don't worry
dw2h,dont work too hard
dwai,don't worry about it
dwb,driving while black
dwbh,"don't worry, be happy"
dwbi,don't worry about it.
dwh,during work hours
dwi,deal with it
dwioyot,deal with it on your own time
dwmt,don't waste my time
dwn,down
dwpkotl,deep wet passionate kiss on the lips
dws,driving while stupid
dwt,don't wanna talk
dwud,do what you do
dwwwi,surfing the world wide web while intoxicated
dwy,don't wet yourself
dwym,does what you mean
dy2h,damn you to hell
dya,do you
dyac,damn you auto correct
dycotfc,do you cyber on the first chat
dyec,don't you ever care
dyfm,dude you fascinate me
dygtp,did you get the picture
dyhab,do you have a boyfriend
dyhag,do you have a girlfriend
dyjhiw,dont you just hate it when
dyk,did you know
dylh,do you like him
dyli,do you love it
dylm,do you love me
dylos,do you like oral sex
dym,do you mind
dymm,do you miss me
dynk,do you not know
dynm,do you know me
dyofdw,do your own fucking dirty work
dystsott,did you see the size of that thing
dyt,don't you think
dyth,damn you to hell
dyw,don't you worry
dyw2gwm,do you want to go with me
dywtmusw,do you want to meet up some where
e-ok,electronically ok
e.g.,example
e123,easy as one
e2ho,each to hisher own
e4u2s,easy for you to say
eabod,eat a bag of dicks
eabos,eat a bag of shit
ead,eat a dick
eadd,entrepreneurial attention deficit disorder
eak,eating at keyboard
eapfs,everything about pittsburgh fucking sucks
ebitda,"earnings before interest, taxes, depreciation and amortization"
ecf,error carried forward
ed,erectile dysfunction
edm,electronic document management
edumacation,education
ee,employee
eedyat,idiot
eejit,idiot
ef,fuck
ef-ing,fuck
efct,effect
effed,fuck
efffl,extra friendly friends for life
effin,fuck
effing,fuck
eft,electronic funds transfer
eg,evil grin
ehlp,help
eil,explode into laughter
eip,eggo is preggo
el,evil laugh
el!t,elite
eleo,extremely low earth orbit
ello,hello
elo,hello
elol,evil laugh out loud
em,them
ema,email address
embm,early morning business meeting
emea,europe
emfbi,excuse me for butting in
emfji,excuse me for jumping in
emi,excuse my ignorance
eml,email me later
emm,email me
emo,emotional
emp,eat my potty
emrtw,evil monkeys rule the world
emsg,email message
enat,every now and then
enit,isn't it
enof,enough
enuf,enough
enuff,enough
eob,end of business
eobd,end of business day
eoc,end of conversation
eod,end of discussion
eof,end of file
eol,end of life
eom,end of message
eos,end of story
eot,end of transmission
eotw,end of the world
epa,emergency parent alert
eq,everquest
eq2,everquest2
ere,here
errythang,everything
errythin,everything
esad,eat shit and die
esadyfa,eat shit and die you fucking asshole
esadyffb,eat shit and die you fat fuck bastard
esbm,everyone sucks but me
esc,escape
esemed,every second every minute every day
esfoad,eat shit fuckoff and die
esg,environmental
esh,experience
esl,eat shit loser
esmf,eat shit mother fucker
eso,equipment smarter than operator
eta,estimated time of arrival
etla,extended three letter acronym
etmda,explain it to my dumb ass
etp,eager to please
etx,end of text
eula,end user license agreement
ev1,everyone
eva,ever
evaa,ever
evar,ever
evercrack,everquest
every1,everyone
evn,even
evr,ever
evre1,every one
evry,every
evry1,every one
evrytin,everything
ewi,emailing while intoxicated
ex-bf,ex-boy friend
ex-gf,ex-girl friend
exp,experience
ey,hey
eyez,eyes
ez,easy
ezi,easy
f,female
f u,fuck you
f#cking,fuck
f&e,forever and ever
f'n,fuck
f*,fuck
f***,fuck
f*****g,fuck
f***ing,fucking
f**k,fuck
f**king,fucking
f*c*,fuck
f*ing,fuck
f*kc*,fuck
f*uck,fuck
f-ing,fuck
f.b.,facebook
f.m.l.,fuck my life
f.u.,fuck you
f/o,fuck off
f/u,to follow up
f00k,fuck
f2f,face to face
f2fmail,facetoface mail
f2m,female to male
f2p,free to play
f2t,free to talk
f4c3,face
f4eaa,friends forever and always
f4f,female for female
f4m,female for male
f4u,fuck you
f8,fate
f9,fine
f@,fat
fa-q,fuck you
faa,forever and always
fab,fabulous
fack,full acknowledge
faf,funny as f
faggit,faggot
fah,funny as hell
faic,for all i care
fam,family
fankle,area between foot and ankle
fao,for attention of
fap,masturbate
fapping,masterbating
faq,frequently asked question
faql,frequently asked questions list
farg,fuck
fasb,fast ass son bitchii
fashizzle,for sure
fatm,foaming at the mouth
fav,favorite
fave,favorite
fawc,for anyone who cares
fawk,fuck
fawomft,frequently argued waste of my fucking time
fay,fuck all yall
fb,facebook
fbi,fucking brilliant idea
fbimcl,fall back in my chair laughing
fbk,facebook
fbks,failure between keyboard and seat
fbm,fine by me
fbocd,facebook obsessive compulsive disorder
fbow,for better or worse
fbtw,fine be that way
fc,fruit cake
fc*k,fuck
fcbk,facebook
fcfs,first come first served
fck,fuck
fckd,fuck
fckin,fuck
fcking,fuck
fckm3hdbayb,fuck me hard baby
fcku,fuck you
fcol,for crying out loud
fcs,first customer ship
fcuk,fuck
fdff,falling down fucking funny
fdgb,fall down go boom
fe,fatal error
fear,forget everything and run
feat,featuring
feck,fuck
fer,for
ferr,for
ff,friendly fire
ff&pn,fresh fields and pastures new
ffa,free for all
ffcl,falling from chair laughing
ffr,for future reference
ffs,for fuck sake
fft,food for thought
ffxi,final fantasy 11
fg,fuck gay
fgdai,forget about it
fgi,fuck google it
fgs,for god's sake
fgssu,for gods sake shut up
fgt,faggot
fi,fuck it
fi9,fine
fibijar,"fuck it buddy, i'm just a reserve"
fif,fuck im funny
fifo,"first in, first out"
fify,fixed it for you
figjam,"fuck i'm good, just ask me"
figmo,fuck it - got my orders
figs,french
fiic,fuck if i care
fiik,fuck if i know
fil,fatherinlaw
filf,father id like to fuck
filth,failed in london
fimh,forever in my heart
fine,fucked up
fio,figure it out
fish,first in
fitb,fill in the blank
fiv,five
fk,fuck
fka,formerly known as
fkd,fuck
fker,fuck
fkin,fuck
fking,fuck
fkm,fuck em
fkn,fuck
fku,fuck you
fla,four letter acronym
flamer,angry poster
flames,angry comments
flicks,pictures
floabt,for lack of a better term
flotus,first lady of the united states
fluid,fucking look it up
fm,fuck me
fmah,fuck my ass hole
fmao,freezing my ass of
fmb,fuck me bitch
fmbb,fuck me baby
fmbo,fuck my brains out
fmfl,fuck my fuck life
fmflth,fuck my fuck life to hell
fmh,fuck me hard
fmhb,fuck me hard bitch
fmi,for my information
fmir,family member in room
fmita,fuck me in the ass
fml,fuck my life
fmltwia,fuck me like the whore i am
fmn,fuck me now
fmnb,fuck me now bitch
fmnkml,fuck me now kiss me later
fmph,fuck my potty hard
fmq,fuck me quick
fmr,fuck me runnig
fmsh,fuck me so hard
fmth,fuck me to hell
fmtyewtk,far more than you ever wanted to know
fmuta,fuck me up the ass
fmutp,fuck me up the potty
fn,first name
fnar,for no apparent reason
fnci,fancy
fng,fucking new guy
fnny,funny
fnpr,for no particular reason
fny,funny
fo,fuck off
fo shizzle,for sure
fo sho,for sure
fo`,for
foa,fuck off asshole
foad,fuck off and die
foaf,friend of a friend
foag,fuck off and google
foah,fuck off asshole
fob,fresh off the boat
foc,free of charge
focl,falling off chair laughing.
fofl,fall on the floor laughing
fogc,fear of getting caught
foia,freedom of information act
fol,farting out loud
folo,follow
fomc,fell off my chair
fomcl,falling off my chair laughing
fomo,fear of missing out
fomof,fear of missing out on football
fomofo,fuck off mother fuck
foms,fell off my seat
fone,phone
foo,fool
foobar,fuck up beyond all recognition
foocl,falls out of chair laughing
fook,fuck
foot,fuck off over there
for sheeze,for sure
ford,found on road dead
fos,full of shit
foshizzle,for sure
fosho,for sure
foss,"free, open source software"
fotcl,fell off the chair laughing
fotm,flavour of the month
fouc,fuck off you cunt
fouo,for official use only
fov,field of view
foyb,fuck off you bitch
fp,first post
fpmitap,federal pound me in the ass prison
fpo,for placement only
fpos,fuck piece of shit
fps,first person shooter
frag,kill
fragged,killed
fred,fucking ridiculous electronic device
fren,friend
frens,friends
frgt,forgot
fri.,friday
friggin,freaking
frk,freak
frm,from
frnd,friend
frnds,friends
frt,for real though
frzn,freezing
fs,for sure
fsbo,for sale by owner
fse,funniest shit ever
fsho,for sure
fsm,flying spaghetti monster
fsob,fuck son of a bitch
fsod,frosn screen of death
fsr,for some reason
fst,fast
fsu,fuck shit up
ft,fuck that
ft2t,from time to time
fta,from the article
ftasb,faster than a speeding bullet
ftb,fuck that bitch
ftbfs,failed to build from source
ftbl,football
ftbomh,from the bottom of my heart
ftc,failure to communicate
fte,full time employee
ftf,face to face
ftfa,from the fuck article
ftfoi,for the fun of it or for the fuck of it
ftfw,for the fuck win!
ftfy,fixed that for you
ftio,fun time is over
ftk,for the kill
ftl,for the lose
ftlog,for the love of god
ftlt,for the last time
ftmfw,for the mother fuck win
ftmp,for the most part
ftn,fuck that noise
ftp,file transfer protocol
ftr,for the record
ftrf,fuck thats really funny
fts,fuck that shit
fttb,for the time being
fttp,for the time being
ftw,for the win!
fu,fuck you
fu**,fuck
fu2,fuck you too
fua,fuck you all
fuah,fuck you ass hole
fub,fuck you bitch
fubah,fuck up beyond all hope
fubalm,fuck up beyond all local maintenance
fubar,fuck up beyond all recognition
fubb,fuck up beyond belief
fubh,fuck up beyond hope
fubohic,fuck you bend over here it comes
fubr,fuck up beyond recognition
fubyoyo,fuck you buddy youre on your own
fuc*,fuck
fuch,fuck
fuck,fuck
fucken,fuck
fucktard,fuck retard
fuctard,fuck retard
fud,"fear, uncertainty and doubt"
fudh,fuck you dick head
fudie,fuck you and die
fugly,fuck ugly
fuh-q,fuck you
fuhget,forget
fujimo,fuck you jack im movin on
fuk,fuck
fukin,fuck
fukk,fuck
fukkin,fuck
fukn,fuck
fukr,fuck
fulla,full of
fum,fucked up mess
fumf,fat ugly mother fucker
fumfer,fuck you mother fuck
funee,funny
funner,more fun
funy,funny
fupa,fat upper pussy area
fuq,fuck you
furtb,filled up and ready to burst
fus,fuck yourself
fut,fuck you too
fuu,fuck you up
fuw,fuck you world
fux,fuck
fuxing,fuck
fuxor,fuck
fuxored,fuck
fvck,fuck
fwb,friend with benefits
fwbï¿½__,friends with benefits
fwd,forward
fwiw,for what it's worth
fwm,fine with me
fwob,friends with occasional benefits
fwot,fucking waste of time
fwp,first world problems
fxe,foxy
fxp,file exchange protocol
fy,fuck you
fya,for your attention
fyad,fuck you and die
fyah,fuck you asshole
fyb,fuck you bitch
fyc,fuck your couch
fye,for your entertainment
fyeo,for your eyes only
fyf,fuck your face
fyfi,for your fuck information
fyi,for your information
fyifv,fuck you i am fully vested
fyk,for your knowledge
fyl,for your love
fyltge,from your lips to gods ears
fym,fuck your mom
fyp,fixed your post
fyrb,fuck you right back
fysbigtbabn,fasten your seat belts its going to be a bumpy night
fytd,fuck you to death
g,guess
g'nite,good night
g/f,girlfriend
g/g,got to go
g0,go
g00g13,google
g1,good one
g2,go to
g2/-/,go to hell
g2bg,got to be going
g2bl8,going to be late
g2cu,glad to see you
g2e,got to eat
g2g,got to go
g2g2tb,got to go to the bathroom
g2g2w,got to go to work
g2g4aw,got to go for a while
g2gb,got to go bye
g2gb2wn,got to go back to work now
g2ge,got to go eat
g2glys,got to go love ya so
g2gn,got to go now
g2gp,got to go pee
g2gpc,got 2 go parents coming
g2gpp,got to go pee pee
g2gs,got to go sorry
g2h,go to hell
g2hb,go to hell bitch
g2k,good to know
g2p,got to pee
g2t2s,got to talk to someone
g3y,gay
g4i,go for it
g4n,good for nothing
g4u,good for you
g4y,good for you
g8,gate
g9,good night
g98t,good night
g@y,gay
ga,go ahead
gaalma,go away and leave me alone
gab,getting a beer
gaf,good as fuck
gafi,get away from it
gafl,get a fuck life
gafm,get away from me
gafyk,get away from your keyboard
gagf,go and get fuck
gagfi,gives a gay first impression
gagp,go and get pissed
gah,gay ass homo
gahoy,get a hold of yourself
gai,gay
gaj,get a job
gal,get a life
galgal,give a little get a little
galher,get a load of her
galhim,get a load of him
gamez,illegally obtained games
ganb,getting another beer
gangsta,gangster
gank,kill
gaoep,generally accepted office etiquette principles
gap,gay ass people
gas,got a second
gaw,grandparents are watching
gawd,god
gb,go back
gb2,go back to
gb2w,get back to work
gba,game boy advance
gbg,great big grin
gbh,great big hug
gbioua,go blow it out your ass
gbnf,gone but not forgotten
gbtw,go back to work
gbu,god bless you
gby,good bye
gc,good crib
gcad,get cancer and die
gcf,google click fraud
gd,good
gd&r,"grins, ducks, and runs"
gd&rf,grinning
gd4u,good for you
gday,good day
gdby,good bye
gded,grounded
gdgd,good good
gdi,god damn it
gdiaf,go die in a fire
gdih,go die in hell
gdilf,grandad i'd like to fuck
gdmfpos,god damn mother fuck piece of shit
gdr,"grinning, ducking, running"
gdw,grin
gemo,gay emo
getcha,get you
geto,ghetto
gewd,good
gey,gay
gf,girlfriend
gfad,go fuck a duck
gfadh,go fuck a dead horse
gfak,go fly a kite
gfam,go fuck a monkey
gfar2cu,go find a rock to crawl under
gfas,go fuck a sheep
gfd,god fuck damnit
gfe,girl friend experience
gfe2e,grinning from ear to ear
gff,go fucking figure
gfg,good fuck game
gfgi,go fuck google it
gfi,good fuck idea
gfj,good fuck job
gfl,grounded for life
gfn,gone for now
gfo,go fuck off
gfon,good for one night
gfr,grim file reaper
gftd,gone for the day
gfu,go fuck yourself
gfurs,go fuck yourself
gfus,go fuck yourself
gfx,graphics
gfy,good for you
gfyd,go fuck your dad
gfym,go fuck your mom
gfymf,go fuck yourself mother fucker
gfys,go fuck yourself
gg,good game
gga,good game all
ggal,go get a life
ggf,go get fuck
ggg,"go, go, go!"
gggg,god
ggi,go google it
ggn,gotta go now
ggnore,good game no rematch
ggoh,gotta get out of here
ggp,gotta go pee
ggpaw,gotta go parents are watching
ggpbl,gotta go
ggs,good games
ggwp,good game well-played
ggy,go google yourself
gh,good half
ghei,gay
ghey,gay
ghm,god help me
gi,google it
gic,gift in crib
gidk,gee i dont know
gigatt,god is good all the time
gigig,get it got it good
gigo,garbage in garbage out
gilf,grandma i'd like to fuck
gim,google instant messanger
gimme,give me
gimmie,give me
gir,google it retard
gis,google image search
gist,great ideas for starting things
gitar,guitar
giv,give
giwist,gee
giyf,google is your friend
gj,good job
gjial,go jump in a lake
gjp,good job partner
gjsu,god just shut up
gjt,good job team
gky,go kill yourself
gkys,go kill yourself
gl,good luck
gl hf,"good luck, have fun"
gl&hf,good luck and have fun
gla,good luck all
glawd,good luck and well done
glb,good looking boy
glbt,"gay, lesbian, bisexual, transgenderd"
glf,group looking for
glg,good looking girl
glgh,good luck and good hunting
glhf,good luck have fun
glln,got laid last night
glnhf,good luck and have fun
glty,good luck this year
glu,girl like us
glu2,good luck to you too
glux,good luck
glwt,good luck with that
glyasdi,god loves you and so do i
gm,good morning
gma,grandma
gmab,give me a break
gmabj,give me a blowjob
gmafb,give me a fuck break
gmao,giggling my ass off
gmfao,giggling my fuck ass off
gmilf,grandmother i'd like to fuck
gmily,good morning i love you
gmod,global moderator
gmta,great minds think alike
gmta asdo,great minds think alike
gmtft,great minds think for themselves
gmtyt,good morning to you too
gmv,got my vote
gmybs,give me your best shot
gn,good night
gn8,good night
gnasd,good night and sweet dreams
gnblfy,got nothing but love for you
gndn,"goes nowhere,does nothing"
gnfpwlbn,good news for people who love bad news
gng,going
gng2,going to
gngbng,gang bang
gnight,good night
gnite,good night
gnn,get naked now
gno,going to do
gnoc,get naked on cam
gnos,get naked on screen
gnr,guns n' roses
gnrn,get naked right now
gns,gangnam style
gnsd,good night sweet dreams
gnst,goodnight sleep tight
gnstdltbbb,good night sleep tight don't let the bed bugs bite
goat,greatest of all time
gob,game on btcheeez
goc,get on camera
goi,get over it
goia,get over it already
goin,going
gok,god only knows
gokid,got observers - keep it decent
gokw,god only knows why
gol,giggle out loud
golf,grateful of lovely family
gomb,get off my back
goml,get out of my life
gona,gonna
gonna,going to
good job,get out of debt job
good9,goodnite
gooh,get out of here!
goomh,get out of my head
gork,god only really knows
gos,gay or straight
gosad,go suck a dick
gotc,get on the computer
gotcha,got you
gotdpwyd,get off the damn phone while youre driving
gotta,got to
gow,gears of war
gowi,get on with it
goya,get off your ass
goyhh,get off your high horse
gp,good point
gpb,gotta pee bad
gpwm,good point well made
gpytfaht,gladly pay you tuesday for a hamburger today
gqmf,gentlemans quarterly mother fucker
gr&d,grinning running ducking
gr2br,good riddance to bad rubbish
gr8,great
gr8t,great
gras,generally recognized as safe
grats,congratulations
gratz,congratulations
grfx,graphics
grillz,metal teeth
grl,girl
grmbl,grumble
grobr,good riddance of bad rubbish
grog,beer
grrl,girl
grrlz,girls
grrr,growling
grtg,getting ready to go
grvy,groovy
gsad,go suck a dick
gsave,global struggle against violent extremists
gsc,gimme some credit
gsd,getting shit done
gsfg,go search fuck google
gsi,go suck it
gsoas,go sit on a snake
gsoh,good sense of humor
gsp,get some potty
gsta,gangster
gsw,gun shot wound
gsyjdwurmnkh,good seeing you
gt,get
gta,grand theft auto
gtas,go take a shit
gtasc,going to a strip club
gtb,go to bed
gtf,get the fuck
gtfa,go the fuck away
gtfbtw,get the fuck back to work
gtfh,go to fuck hell
gtfo,get the fuck out
gtfoi,get the fuck over it
gtfon,get the fuck out noob
gtfooh,get the fuck out of here
gtfoomf,get the fuck out of my face
gtfu,grow the fuck up
gtfuotb,get the fuck up out this bitch
gtg,got to go
gtg / g2g,got to go
gtgb,got to go bye
gtgbb,got to go bye bye
gtgfn,got to go for now
gtglyb,got to go love you bye
gtgmmiloms,got to go my mum is looking over my shoulder
gtgn,got to go now
gtgp,got to go pee
gtgpp,got to go pee pee
gtgtb,got to go to bed
gtgtpirio,got to go the price is right is on
gtgtwn,got to go to work now
gth,go to hell
gtha,go the hell away
gthb,go to hell bitch
gthmf,go to hell motherfucker
gtho,get the hell out
gthu,grow the heck up
gthyfah,go to hell you fuck asshole
gtk,good to know
gtl,gym
gtm,giggling to myself
gtn,getting
gtp,got to pee
gtr,got to run
gtrm,going to read mail
gts,going to school
gtsy,good to see you
gttp,get to the point
gtty,good talking to you
gu,grow up
gu2i,get used to it
gud,good
gudd,good
gui,graphical user interface
gurl,girl
gurlz,girls
guru,expert
guvment,government
gw,good work
gwi,get with it
gwijd,guess what i just did
gwm,gay white male
gwork,good work
gwot,glorified waste of time
gwrk,good work
gws,get well soon
gwytose,go waste your time on someone else
gy,gay
gyal,girl
gyhooya,get your head out of your ass
gypo,get your penis out
h&k,hugs and kisses
h*ck,heck
h*r,homestar runner
h+k,hugs and kisses
h-bday,happy birthday
h.o,hold on
h/e,however
h/mo,homo
h/o,hold on
h/p,hold please
h/u,hold up
h/w,homework
h2,halo 2
h2cus,hope to see you soon
h2gtb,have to go to the bathroom
h2o,water
h2s,here to stay
h2sys,hope to see you soon
h3y,hey
h4kz0r5,hackers
h4u,hot for you
h4x,hacks
h4x0r,hacker
h4xor,hacker
h4xr,hacker
h4xrz,hackers
h4xx0r,hacker or to be hacked
h4xx0rz,hacker
h4xxor,hacker
h8,hate
h80r,hater
h82sit,hate to say it
h83r,hater
h8ed,hated
h8er,hater
h8r,hater
h8red,hatred
h8s,hates
h8t,hate
h8t0r,hater
h8t3r,hater
h8te,hate
h8tr,hater
h8u,i hate you
h9,husband in room
h@x0r,hacker
ha>,hacker
habt,how about this
hadvd,have advised
hafta,have to
hag1,have a good one
hagd,have a good day
hagl,have a great life
hagn,have a good night
hago,have a good one
hags,have a great summer
haha,laughing
hahaha,laughing
hai,hello
hait,hate
hak,here's a kiss
hak/h&k,hugs and kisses
hakas,have a kick ass summer
hammrd,hammered
han,how about now
hand,have a nice day
har,hit and run
hau,how are you
hav,have
havnt,haven't
hawf,husband and wife forever
hawt,hot
hawtie,hottie
hawtlw,hello and welcome to last week
hax,hacks
hax0r,hacker
hax0red,hacked
hax0rz,hackers
haxer,hacker
haxor,hacker
haxoring,hacking
haxors,hackers
haxorz,hackers
haxxor,hacker
haxxzor,hacker
haxz0r,hacker
haxzor,hacker
hay,how are you
hayd,how are you doing
hb,hurry back
hb4b,hoes before bros
hbastd,hitting bottom and starting to dig
hbb,hip beyond belief
hbd,happy birthday
hbib,hot but inappropriate boy
hbic,head bitch in charge
hbii,how big is it
hbo,helping a brother out
hbtu,happy birthday to you
hbu,how about you
hbuf,how about your family
hby,how about you
hc,how come
hcbt1,he could be the one
hcc,holy computer crap
hcib,how can it be
hcihy,how can i help you
hd,hold
hdgfs,how does get fucked sound
hdop,help delete online predators
hdu,how dare you
hdydi,how do you do it
hdydt,how did you do that
headf**k,headfuck
heh,haha
hella,very
heya,hey
heyt,hate
heyy,hello
heyya,hello
hf,have fun
hfn,hell fuck no
hfs,holy fuck shit
hfsbm,holy fuck shit batman
hfwt,have fun with that
hg,hockeygod
hght,height
hhfo,hell has frozen over
hhh,hip hip hooray
hhiad,holy hole in a doughnut
hhiadb,holy hole in a donut batman
hhis,hanging head in shame
hho1/2k,ha ha
hhoj,ha ha
hhok,ha ha only kidding
hhos,ha ha
hhtyay,happy holidays to you and yours
hhyb,how have you been
hi 5,high five
hi2u,hello
hi2u2,hello to you too
hiet,height
hig,hows it going
hih,hope it helps
hiik,hell if i know
hijack,start an off topic discussion
hiooc,help
hippo,higher income peoples personal opinions
hitaks,hang in there and keep smiling
hith,how in the hell
hiw,husband is watching
hiya,hello
hiybbprqag,copying somebody else's search results
hj,hand job
hl,half-life
hl2,half-life 2
hla,hot lesbian action
hlb,horny little bastard
hld,hold
hldn,hold on
hldon,hold on
hll,hell
hlm,he loves me
hlo,hello
hlp,help
hly,holy
hlysht,holy shit
hmb,hold me back
hmewrk,homework
hmfic,head mother fuck in charge
hml,hate my life
hmoj,holy mother of jesus
hmp,help me please
hmu,hit me up
hmul,hit me up later
hmus,hit me up sometime
hmw,homework
hmwk,homework
hmwrk,homework
hng,horny net geek
hngry,hungry
hnic,head nigger in charge
hnti,how nice thatthis is
hntw,how nice that was
hny,happy new year
ho,hold on
hoas,hold on a second
hoay,how old are you
hodl,hold
hoh,head of household
hoha,hollywood hacker
hoic,hold on
hom,home
homey,friend
homie,good friend
homo,homosexual
hoopty,broke down automobile
hot pic,hot picture
hott,hot
howdey,hello
howru,how are you
howz,hows
hoyew,hanging on your every word
hp,higher power
hpb,high ping bastard
hpoa,hot piece of ass
hppo,highest paid person in office
hppy,happy
hpy,happy
hpybdy,happy birthday
hr,hour
hrcn,hurricane
hre,here
hrny,horny
hrs,hours
hru,how are you
hrud,how are you doing
hs,headshot
hsd,high school dropout
hsiab,havent seen it all before
hsik,how should i know
hsr,homestar runner
hss,horse shit and splinters
hswm,have sex with me
ht,heard through
ht or h/t,hat tip or heard through usually referencing news or an informative link
htb,hang the bastards
htc,hit the cell
htf,how the fuck
htfu,hurry the fuck up
htg,have to go
hth,hope that helps
hthu,hurry the hell up
htnoth,hit the nail on the head
htr,hater
http,hyper text transfer protocol
hu,hey you
hua,heads up ass
hubby,husband
hud,heads up display
huggle,hug and cuddle
hugz,hugs
huh,what
hun,honey
huya,head up your ass
hv,have
hve,have
hvnt,haven't
hw,homework
hw/hw,help me with homework
hwg,here we go
hwga,here we go again
hwik,how would i know
hwk,homework
hwmbo,he who must be obeyed
hwmnbn,he who must not be named
hwms,hot wild monkey sex
hwu,hey what's up
hwz,how is
hx,hospital
hxc,hardcore
hy,hell yeah
hyb,how you been
hyg,here you go
hyk,how you know
i 1-d-r,i wonder
i <3 i,i love it
i <3 u,i love you
i c,i see
i h8 it,i hate it
i&i,intercourse inebriation
i-d-l,ideal
i8,alright
i8u,i hate you
i<3 u,i love you
i<3u,i love you
iab,i am bored
iac,in any case
iae,in any event
iafh,i am fuck hot
iafi,i am from india
iag,it's all good
iagtkom,i aint got that kind of money
iah,i am horny
iai,i am interested
iaits,its all in the subject
iajsn,i am just scraping noslang.com
iam,i am
ianabs,i am not a brain surgeon
ianac,i am not a crook
ianacl,i am not a copyright lawyer
ianadbipootv,i am not a doctor but i play one on tv
ianae,i am not an expert
ianal,i am not a lawyer
ianalb,"i am not a lawyer, but.."
ianars,i am not a rocket scientist
iannngc,i am not nurturing the next generation of casualties
ians,i am not sure
ianyl,i am not your lawyer
iap,i am pissed
iasap4u,i always say a prayer for you
iasb,i am so bored
iaspfm,i am sorry please forgive me
iat,i am tired
iatb,i am the best
iateu,i hate you
iavb,i am very bored
iaw,in another window
iawtc,i agree with this comment
iawtp,i agree with this post
iawy,i agree with you
iaym,i am your master
ib,i'm back
ibbl,i'll be back later
ibcd,idiot between chair & desk
ibgybg,ill be gone
ibiwisi,ill believe it when i see it
ibk,idiot behind keyboard
ibrb,ill be right back
ibs,internet bitch slap
ibt,i'll be there
ibtc,itty bitty titty committee
ibtd,i beg to differ
ibtl,in before the lock
ibw,i'll be waiting
ic,i see
icb,i can't believe
icbi,i can't believe it
icbiwoop,"i chuckled, but it was out of pity."
icbt,i can't believe that
icbu,i can't believe you
icbw,it could be worse
icbwicbm,it could be worse
icbyst,i cant believe you said that
iccl,i could care less
icgup,i can give you pleasure
icic,i see. i see
icihicpcl,i cant imagine how i could possibly care less
icp,insane clown posse
icr,i can't rememer
icsrg,i can still reach google
ictrn,i can't talk right now
icty,i can't tell you
icu,i see you
icudk,in case you didn't know
icup,i see you pee
icw,i care why?
icwudt,i see what you did there
icwum,i see what you mean
icyc,in case you care
icydk,in csae you didn't know
icydn,in case you didn't know
icymi,in case you missed it
id,identification
id10t,idiot
idac,i don't actually care
idak,i don't actually know
idbtwdsat,i don't believe they would do such a thing
idby,i don't believe you
idc,i don't care
iddi,i didn't do it
idec,i don't even care
idek,i don't even know
idfc,i don't fuck care
idfk,i don't fuck know
idfts,i don't fuck think so
idgac,i don't give a crap
idgad,i don't give a damn
